kernel_ns,app_mono_ns,src,sport,dst,dport,sequence,counter,flags,mode
1787953097446676659,4674531547491,192.168.20.11,51506,192.168.20.255,12445,200,200,8,3
1787953097447792104,4674532651324,192.168.20.11,51506,192.168.20.255,12445,201,0,8,3
1787953097448915548,4674533771195,192.168.20.11,51506,192.168.20.255,12445,202,1,8,3
1787953097450031529,4674534886565,192.168.20.11,51506,192.168.20.255,12445,203,2,8,3
1787953097451151326,4674536022676,192.168.20.11,51506,192.168.20.255,12445,204,3,8,3
1787953097546807492,4674631725880,192.168.20.11,51506,192.168.20.255,12445,205,4,8,3
1787953097547921492,4674632784194,192.168.20.11,51506,192.168.20.255,12445,206,5,8,3
1787953097549039641,4674633895472,192.168.20.11,51506,192.168.20.255,12445,207,6,8,3
1787953097550154270,4674635010991,192.168.20.11,51506,192.168.20.255,12445,208,7,8,3
1787953097551292455,4674636165417,192.168.20.11,51506,192.168.20.255,12445,209,8,8,3
1787953097552406511,4674637264694,192.168.20.11,51506,192.168.20.255,12445,210,9,8,3
1787953097649230270,4674734144120,192.168.20.11,51506,192.168.20.255,12445,211,10,8,3
1787953097650343252,4674735207083,192.168.20.11,51506,192.168.20.255,12445,212,11,8,3
1787953097651455270,4674736312306,192.168.20.11,51506,192.168.20.255,12445,213,12,8,3
1787953097652575603,4674737431102,192.168.20.11,51506,192.168.20.255,12445,214,13,8,3
1787953097653696455,4674738552157,192.168.20.11,51506,192.168.20.255,12445,215,14,8,3
1787953097654819159,4674739675694,192.168.20.11,51506,192.168.20.255,12445,216,15,8,3
1787953097655934178,4674740807472,192.168.20.11,51506,192.168.20.255,12445,217,16,8,3
1787953097751597400,4674836508472,192.168.20.11,51506,192.168.20.255,12445,218,17,8,3
1787953097752714622,4674837592139,192.168.20.11,51506,192.168.20.255,12445,219,18,8,3
1787953097753830233,4674838687657,192.168.20.11,51506,192.168.20.255,12445,220,19,8,3
1787953097754948344,4674839804842,192.168.20.11,51506,192.168.20.255,12445,221,20,8,3
1787953097756079974,4674840936380,192.168.20.11,51506,192.168.20.255,12445,222,21,8,3
1787953097757201103,4674842056713,192.168.20.11,51506,192.168.20.255,12445,223,22,8,3
1787953097758322085,4674843177435,192.168.20.11,51506,192.168.20.255,12445,224,23,8,3
1787953097854038418,4674938955361,192.168.20.11,51506,192.168.20.255,12445,225,24,8,3
1787953097855154048,4674940049694,192.168.20.11,51506,192.168.20.255,12445,226,25,8,3
1787953097856283289,4674941153342,192.168.20.11,51506,192.168.20.255,12445,227,26,8,3
1787953097857831807,4674942775805,192.168.20.11,51506,192.168.20.255,12445,228,27,8,3
1787953097858534233,4674943404583,192.168.20.11,51506,192.168.20.255,12445,229,28,8,3
1787953097859633103,4674944516157,192.168.20.11,51506,192.168.20.255,12445,230,29,8,3
1787953097860749622,4674945609287,192.168.20.11,51506,192.168.20.255,12445,231,30,8,3
1787953097956406566,4675041322139,192.168.20.11,51506,192.168.20.255,12445,232,31,8,3
1787953098058827566,4675143741194,192.168.20.11,51506,192.168.20.255,12445,233,32,8,3
1787953098059946122,4675144809083,192.168.20.11,51506,192.168.20.255,12445,234,33,8,3
1787953098061063196,4675145921398,192.168.20.11,51506,192.168.20.255,12445,235,34,8,3
1787953098062183011,4675147039027,192.168.20.11,51506,192.168.20.255,12445,236,35,8,3
1787953098063301122,4675148159676,192.168.20.11,51506,192.168.20.255,12445,237,36,8,3
1787953098064417844,4675149274213,192.168.20.11,51506,192.168.20.255,12445,238,37,8,3
1787953098065552159,4675150409102,192.168.20.11,51506,192.168.20.255,12445,239,38,8,3
1787953098066668622,4675151538361,192.168.20.11,51506,192.168.20.255,12445,240,39,8,3
