event,sequence,counter,valid_self,adopted,realtime_ns,kernel_ns,monotonic_ns,write_end_ns,written,socket_drop_total,trace_record_overflow
tx,111,111,1,1,1787953772672428479,1787953772672019460,5349757236644,5349757251570,72,0,0
rx,112,112,1,1,1787953772687380238,1787953772687182608,5349772188292,0,0,0,0
tx,112,112,1,1,1787953772687384534,1787953772687182608,5349772192866,5349772212348,72,0,0
rx,113,113,1,1,1787953772702336183,1787953772702115942,5349787144255,0,0,0,0
tx,113,113,1,1,1787953772702341034,1787953772702115942,5349787149218,5349787162088,72,0,0
rx,114,114,1,1,1787953772717271849,1787953772717251757,5349802079922,0,0,0,0
tx,114,114,1,1,1787953772717275183,1787953772717251757,5349802083366,5349802095292,72,0,0
rx,115,115,1,1,1787953772732209294,1787953772732158627,5349817017385,0,0,0,0
tx,115,115,1,1,1787953772732212646,1787953772732158627,5349817020848,5349817033588,72,0,0
rx,116,116,1,1,1787953772748225294,1787953772747161164,5349833033366,0,0,0,0
tx,116,116,1,1,1787953772748229349,1787953772747161164,5349833037533,5349833055922,72,0,0
rx,117,117,1,1,1787953772763181405,1787953772762918294,5349847989459,0,0,0,0
tx,117,117,1,1,1787953772763185294,1787953772762918294,5349847993477,5349848033773,72,0,0
rx,118,118,1,1,1787953772778156479,1787953772777471497,5349862964551,0,0,0,0
tx,118,118,1,1,1787953772778159979,1787953772777471497,5349862968162,5349862980477,72,0,0
rx,119,119,1,1,1787953772793105849,1787953772792970701,5349877913922,0,0,0,0
tx,119,119,1,1,1787953772793109775,1787953772792970701,5349877917996,5349877938903,72,0,0
rx,120,120,1,1,1787953772808082349,1787953772807836812,5349892890422,0,0,0,0
tx,120,120,1,1,1787953772808085886,1787953772807836812,5349892894107,5349892907607,72,0,0
rx,121,121,1,1,1787953772823022997,1787953772822491590,5349907831070,0,0,0,0
tx,121,121,1,1,1787953772823028108,1787953772822491590,5349907836292,5349907849255,72,0,0
rx,122,122,1,1,1787953772837966386,1787953772837520294,5349922774459,0,0,0,0
tx,122,122,1,1,1787953772837969664,1787953772837520294,5349922777848,5349922790718,72,0,0
rx,123,123,1,1,1787953772852912831,1787953772852369405,5349937720903,0,0,0,0
tx,123,123,1,1,1787953772852916571,1787953772852369405,5349937724792,5349937740422,72,0,0
rx,124,124,1,1,1787953772868047608,1787953772867277108,5349952855681,0,0,0,0
tx,124,124,1,1,1787953772868052127,1787953772867277108,5349952860366,5349952885218,72,0,0
rx,125,125,1,1,1787953772881967608,1787953772881858923,5349966775681,0,0,0,0
tx,125,125,1,1,1787953772881971386,1787953772881858923,5349966779570,5349966795347,72,0,0
rx,126,126,1,1,1787953772898030997,1787953772897170757,5349982839051,0,0,0,0
tx,126,126,1,1,1787953772898035331,1787953772897170757,5349982843514,5349982863051,72,0,0
rx,127,127,1,1,1787953772912991479,1787953772912003794,5349997799533,0,0,0,0
tx,127,127,1,1,1787953772912995238,1787953772912003794,5349997803422,5349997817440,72,0,0
rx,128,128,1,1,1787953772927928886,1787953772927068423,5350012736940,0,0,0,0
tx,128,128,1,1,1787953772927933738,1787953772927068423,5350012741922,5350012753755,72,0,0
rx,129,129,1,1,1787953772942896794,1787953772942481331,5350027704755,0,0,0,0
tx,129,129,1,1,1787953772942901108,1787953772942481331,5350027709292,5350027727607,72,0,0
rx,130,130,1,1,1787953772957866275,1787953772957251664,5350042674329,0,0,0,0
tx,130,130,1,1,1787953772957870645,1787953772957251664,5350042678829,5350042694384,72,0,0
rx,131,131,1,1,1787953772972790627,1787953772972366756,5350057598681,0,0,0,0
tx,131,131,1,1,1787953772972794905,1787953772972366756,5350057603088,5350057618144,72,0,0
rx,132,132,1,1,1787953772987755219,1787953772987027960,5350072563273,0,0,0,0
tx,132,132,1,1,1787953772987759238,1787953772987027960,5350072567551,5350072588755,72,0,0
rx,133,133,1,1,1787953773002712571,1787953773001841590,5350087520625,0,0,0,0
tx,133,133,1,1,1787953773002716108,1787953773001841590,5350087524292,5350087536699,72,0,0
rx,134,134,1,1,1787953773017649405,1787953773017073960,5350102457459,0,0,0,0
tx,134,134,1,1,1787953773017652719,1787953773017073960,5350102460903,5350102473551,72,0,0
rx,135,135,1,1,1787953773032586331,1787953773032245775,5350117394310,0,0,0,0
tx,135,135,1,1,1787953773032592164,1787953773032245775,5350117400421,5350117416940,72,0,0
rx,136,136,1,1,1787953773047542145,1787953773047498331,5350132350218,0,0,0,0
tx,136,136,1,1,1787953773047545812,1787953773047498331,5350132353996,5350132369773,72,0,0
rx,137,137,1,1,1787953773062511738,1787953773062037164,5350147319810,0,0,0,0
tx,137,137,1,1,1787953773062515775,1787953773062037164,5350147323958,5350147340310,72,0,0
rx,138,138,1,1,1787953773078524405,1787953773077576812,5350163332458,0,0,0,0
tx,138,138,1,1,1787953773078528145,1787953773077576812,5350163336329,5350163349625,72,0,0
rx,139,139,1,1,1787953773092412423,1787953773092107701,5350177220477,0,0,0,0
tx,139,139,1,1,1787953773092416405,1787953773092107701,5350177224644,5350177245310,72,0,0
rx,140,140,1,1,1787953773107369590,1787953773107250979,5350192177644,0,0,0,0
tx,140,140,1,1,1787953773107373293,1787953773107250979,5350192181477,5350192194051,72,0,0
rx,141,141,1,1,1787953773123370034,1787953773122442182,5350208178107,0,0,0,0
tx,141,141,1,1,1787953773123373516,1787953773122442182,5350208181699,5350208193755,72,0,0
rx,142,142,1,1,1787953773138319386,1787953773137450793,5350223127347,0,0,0,0
tx,142,142,1,1,1787953773138323330,1787953773137450793,5350223131625,5350223150366,72,0,0
rx,143,143,1,1,1787953773152207497,1787953773151802645,5350237015588,0,0,0,0
tx,143,143,1,1,1787953773152210905,1787953773151802645,5350237019088,5350237031755,72,0,0
rx,144,144,1,1,1787953773167146108,1787953773166840905,5350251954181,0,0,0,0
tx,144,144,1,1,1787953773167149849,1787953773166840905,5350251958033,5350251973236,72,0,0
rx,145,145,1,1,1787953773183154349,1787953773182147756,5350267962421,0,0,0,0
tx,145,145,1,1,1787953773183157756,1787953773182147756,5350267965940,5350267978458,72,0,0
rx,146,146,1,1,1787953773197036349,1787953773196857738,5350281844403,0,0,0,0
tx,146,146,1,1,1787953773197040645,1787953773196857738,5350281848829,5350281867403,72,0,0
rx,147,147,1,1,1787953773213054590,1787953773212290275,5350297862662,0,0,0,0
tx,147,147,1,1,1787953773213058330,1787953773212290275,5350297866514,5350297879625,72,0,0
rx,148,148,1,1,1787953773227991645,1787953773227098423,5350312799718,0,0,0,0
tx,148,148,1,1,1787953773227994997,1787953773227098423,5350312803181,5350312814551,72,0,0
rx,149,149,1,1,1787953773242937534,1787953773242095497,5350327745607,0,0,0,0
tx,149,149,1,1,1787953773242941608,1787953773242095497,5350327749847,5350327768255,72,0,0
rx,150,150,1,1,1787953773257885793,1787953773256878719,5350342693866,0,0,0,0
tx,150,150,1,1,1787953773257890793,1787953773256878719,5350342698977,5350342711088,72,0,0
rx,151,151,1,1,1787953773272822386,1787953773272356164,5350357630458,0,0,0,0
tx,151,151,1,1,1787953773272826367,1787953773272356164,5350357634551,5350357648347,72,0,0
rx,152,152,1,1,1787953773287778330,1787953773287602719,5350372586403,0,0,0,0
tx,152,152,1,1,1787953773287782293,1787953773287602719,5350372590477,5350372610273,72,0,0
rx,153,153,1,1,1787953773302733071,1787953773301939108,5350387541125,0,0,0,0
tx,153,153,1,1,1787953773302736738,1787953773301939108,5350387544921,5350387558755,72,0,0
rx,154,154,1,1,1787953773317673793,1787953773316982497,5350402481866,0,0,0,0
tx,154,154,1,1,1787953773317677386,1787953773316982497,5350402485569,5350402497625,72,0,0
rx,155,155,1,1,1787953773332636127,1787953773332108293,5350417444199,0,0,0,0
tx,155,155,1,1,1787953773332640164,1787953773332108293,5350417448347,5350417465477,72,0,0
rx,156,156,1,1,1787953773347595016,1787953773347214460,5350432403069,0,0,0,0
tx,156,156,1,1,1787953773347598645,1787953773347214460,5350432406847,5350432421421,72,0,0
rx,157,157,1,1,1787953773362535941,1787953773362401312,5350447344014,0,0,0,0
tx,157,157,1,1,1787953773362541201,1787953773362401312,5350447349384,5350447363829,72,0,0
rx,158,158,1,1,1787953773377476886,1787953773377010738,5350462284940,0,0,0,0
tx,158,158,1,1,1787953773377480145,1787953773377010738,5350462288329,5350462300606,72,0,0
rx,159,159,1,1,1787953773393491775,1787953773392585404,5350478299847,0,0,0,0
